global_step,game_idx,total_env_steps,buffer_size,batch_size,replay_capacity,elapsed_sec,steps_per_sec
88,28,2443,2443,256,20000,3236.430511406972,0.7548439527403774
89,28,2443,2443,256,20000,3236.476756704971,0.754833166942684
90,29,2549,2549,256,20000,3412.5777449409943,0.7469426898123529
91,29,2549,2549,256,20000,3412.615605972009,0.746934402907641
92,29,2549,2549,256,20000,3412.6533559300005,0.7469261404973135
93,29,2549,2549,256,20000,3412.690327327,0.7469180486693945
94,30,2599,2599,256,20000,3490.6469479310326,0.7445611196917158
95,30,2599,2599,256,20000,3490.6863604610553,0.7445527130248162
96,30,2599,2599,256,20000,3490.7257613870315,0.7445443090228014
97,30,2599,2599,256,20000,3490.765139517025,0.7445359100725958
98,31,2701,2701,256,20000,3652.1411412700545,0.7395661601021013
99,31,2701,2701,256,20000,3652.182298433967,0.739557825784921
100,31,2701,2701,256,20000,3652.2238115059445,0.7395494195867146
101,31,2701,2701,256,20000,3652.267103577964,0.7395406533530776
102,32,2829,2829,256,20000,3858.193949414999,0.7332446313200374
103,32,2829,2829,256,20000,3858.232597779017,0.7332372863234082
104,32,2829,2829,256,20000,3858.270684874966,0.7332300481379208
105,32,2829,2829,256,20000,3858.30804634199,0.7332229479919667
106,33,2874,2874,256,20000,3924.036107875989,0.7324091626556528
107,33,2874,2874,256,20000,3924.074732859037,0.7324019534933872
108,33,2874,2874,256,20000,3924.1095485850237,0.7323954554317481
109,33,2874,2874,256,20000,3924.144095762982,0.7323890076063072
110,34,2909,2909,256,20000,3971.857888475992,0.732402840605203
111,34,2909,2909,256,20000,3971.900901647052,0.7323949091463253
112,34,2909,2909,256,20000,3971.94437282905,0.7323868934065764
113,34,2909,2909,256,20000,3971.9913762810174,0.7323782265417962
114,35,2942,2942,256,20000,4017.879133741022,0.7322271034222779
115,35,2942,2942,256,20000,4017.9158336910186,0.732220415204009
116,35,2942,2942,256,20000,4017.9505114749772,0.7322140956186145
117,35,2942,2942,256,20000,4017.984733914025,0.7322078591209877
118,36,3050,3050,256,20000,4154.770616860944,0.7340958818815293
119,36,3050,3050,256,20000,4154.806518340018,0.7340895385950669
120,36,3050,3050,256,20000,4154.842890940956,0.734083112179787
121,36,3050,3050,256,20000,4154.877195024979,0.7340770513390982
122,37,3129,3129,256,20000,4260.601230600965,0.734403393006261
123,37,3129,3129,256,20000,4260.637980637024,0.7343970584264874
124,37,3129,3129,256,20000,4260.675024942029,0.7343906732343599
125,37,3129,3129,256,20000,4260.711704747984,0.7343843509790053
126,38,3182,3182,256,20000,4333.251680759015,0.7343215290561289
127,38,3182,3182,256,20000,4333.286600654945,0.7343156115081481
128,38,3182,3182,256,20000,4333.32371294999,0.7343093225393481
129,38,3182,3182,256,20000,4333.3606905819615,0.7343030564973958
130,39,3242,3242,256,20000,4412.451376850018,0.7347389745775317
131,39,3242,3242,256,20000,4412.487408773974,0.7347329747737007
